SEP=,
NAME,TYPE,LOCATION,
"5080WorksoftAGStageUE2","Application group","East US 2"
"5080WorksoftHPStageUE2","Host pool","East US 2"
"5080WorksoftWrkspcStageUE2","Workspace","East US 2"
"5364mySolnPlannerAGStgUE2","Application group","East US 2"
"5364mySolnPlannerHPStgUE2","Host pool","East US 2"
"5364mySolnPlannerRDSWrkspcStgUE2","Workspace","East US 2"
"6376TrendMicroDeAGStageUE2","Application group","East US 2"
"6376VirtualOSPatHPStageUE2","Host pool","East US 2"
"6376VirtualOSPatWrkspcStageUE2","Workspace","East US 2"
"6861InvoiceTransHPStageUE2","Host pool","East US 2"
"6861InvoiceTransInvoiceTransAGStageUE2","Application group","East US 2"
"6861InvoiceTransWrkspcStageUE2","Workspace","East US 2"
"728FACTSHPStageUE2","Host pool","East US 2"
"728FACTSODBCAGStageUE2","Application group","East US 2"
"728FACTSWrkspcStageUE2","Workspace","East US 2"
"870BenefitsFranceAGStgUE2","Application group","East US 2"
"data_disk_d","Disk","East US 2"
"LB_155920_Stg","Load balancer","East US 2"
"LB_155920_Stg","Public IP address","East US 2"
"StgEastUS2RSVault155920","Recovery Services vault","East US 2"
"Test-Hostpool","Host pool","East US 2"
"Test-Hostpool-DAG","Application group","East US 2"
"Test-Workspace","Workspace","East US 2"
"VA700356","Virtual machine","East US 2"
"VA700356-1","Network interface","East US 2"
"VA700356_disk1_985976f9d1294669a1983bf06a316efa","Disk","East US 2"
"VA700632","Virtual machine","East US 2"
"va700632-01","Disk","East US 2"
"VA700632-1","Network interface","East US 2"
"VA700632_OSDrive","Disk","East US 2"
"VA700633","Virtual machine","East US 2"
"va700633-01","Disk","East US 2"
"VA700633-1","Network interface","East US 2"
"VA700633_disk1_7e13252dddf746e79ad503799cd99a03","Disk","East US 2"
"VA700634","Virtual machine","East US 2"
"va700634-01","Disk","East US 2"
"VA700634-1","Network interface","East US 2"
"VA700634_disk1_ff98bad7e41a41fbb0bf99a3b7cf6335","Disk","East US 2"
"VA700654","Virtual machine","East US 2"
"va700654-01","Disk","East US 2"
"VA700654-1","Network interface","East US 2"
"VA700654_disk1_4e3d6ebb58134aeea80dc2cb661f4fc6","Disk","East US 2"
"VA701649","Virtual machine","East US 2"
"VA701649-1","Network interface","East US 2"
"va701649_data_disk","Disk","East US 2"
"VA701649_disk1_c3a964f82be7431d93a6ab9996961d8d","Disk","East US 2"
"VA801995","Virtual machine","East US 2"
"VA801995-1","Network interface","East US 2"
"VA801995_dd1_051120210024","Disk","East US 2"
"VA801995_osd_2021-10-25","Disk","East US 2"
"VA802005","Virtual machine","East US 2"
"VA802005-1","Network interface","East US 2"
"VA802005_dd1_051120210030","Disk","East US 2"
"VA802005_osd_2021-10-25","Disk","East US 2"
"VA802006","Virtual machine","East US 2"
"VA802006-1","Network interface","East US 2"
"VA802006_dd1_051120210032","Disk","East US 2"
"VA802006_osd_2021-10-25","Disk","East US 2"
